"FIELD_3","FIELD_4","FIELD_5","FIELD_12","FIELD_13","FIELD_14","FIELD_21","FIELD_22","FIELD_23","FIELD_30","FIELD_31","FIELD_32","FIELD_40"
"0.307999998","0.195999995","0.230000004","0.303000003","0.250999987","0.279000014","29.00399971","29.052999496","29.000999451","30.754999161","29.766000748","30.818000793","68.629865455"
"0.331999987","0.217999995","0.264999986","0.26699999","0.233999997","0.238000005","29.01499939","29.082000732","29.089000702","30.722000122","29.719999313","30.698999405","68.485199138"
"0.287","0.201000005","0.27700001","0.243000001","0.215000004","0.246000007","29.079999924","29.166000366","29.187999725","30.736999512","29.680999756","30.583999634","65.790333058"
"0.287999988","0.195999995","0.248999998","0.239999995","0.210999995","0.245000005","29.111000061","29.179000854","29.195999146","30.697999954","29.672000885","30.607000351","66.687892973"
"0.270999998","0.195999995","0.234999999","0.270999998","0.224999994","0.273999989","29.009000778","29.020000458","28.966999054","30.808000565","29.833000183","30.833999634","66.625679595"
"0.240999997","0.177000001","0.216000006","0.289000005","0.250999987","0.324000001","29.158000946","29.240999222","29.1439991","30.662000656","29.665000916","30.677000046","65.257676719"
"0.287","0.185000002","0.223000005","0.261999995","0.230000004","0.286000013","29.051000595","29.084999084","28.983999252","30.716999054","29.756999969","30.813999176","66.839781999"
"0.26699999","0.182999998","0.209999993","0.263999999","0.238000005","0.31099999","30.163999557","30.790000916","31.523000717","30.000999451","28.056999207","28.150999069","65.890699445"
"0.305999994","0.189999998","0.229000002","0.284999996","0.240999997","0.264999986","29.045999527","29.091999054","29.048000336","30.714000702","29.722999573","30.756999969","68.575857665"
"0.266000003","0.184","0.239999995","0.263999999","0.221000001","0.261000007","29.091999054","29.149999619","29.097000122","30.725000381","29.708000183","30.680999756","66.513231167"
"0.247999996","0.178000003","0.216999993","0.287","0.244000003","0.303000003","29.047000885","29.052000046","28.934000015","30.747999191","29.791999817","30.850000381","66.048747489"
"0.26699999","0.193000004","0.239999995","0.261999995","0.241999999","0.275999993","29.080999374","29.099000931","29.035999298","30.732000351","29.736999512","30.73500061","66.000675586"
"0.275000006","0.187000006","0.245000005","0.264999986","0.238999993","0.275999993","29.038999557","29.077999115","28.976999283","30.752000809","29.766000748","30.797000885","66.173503511"
"0.305000007","0.197999999","0.263000011","0.256000012","0.228","0.270000011","29.00399971","29.042999268","28.955999374","30.802999496","29.836999893","30.833999634","66.426315662"
"0.264999986","0.180000007","0.216000006","0.289000005","0.25999999","0.338999987","29.042999268","29.058000565","28.927999496","30.736000061","29.76499939","30.875999451","65.537766243"
"0.30399999","0.188999996","0.231999993","0.296999991","0.256000012","0.289999992","29.097000122","29.149000168","29.052999496","30.663999557","29.670999527","30.725999832","67.935586679"
"0.257999986","0.179000005","0.226999998","0.282999992","0.256000012","0.32100001","29.049999237","29.066999435","28.916000366","30.826000214","29.849000931","30.920000076","65.354986001"
