########,上邊界(70.0),區間檢測,結果,########
,(1) 70.0±0.5 [69.5~70.5],(2) 70.0±1.0 [69.0~71.0],(3) 70.0±1.5 [68.5~71.5],(4) 70.0±2.0 [68.0~72.0],(5) 70.0±2.5 [67.5~72.5],(6) 70.0±3.0 [67.0~73.0],(7) 70.0±3.5 [66.5~73.5],(8) 70.0±4.0 [66.0~74.0],(9) 70.0±0.0 [70.0~1069.0]
MAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,

########,下邊界(60.0),區間檢測,結果,########
,(1) 60.0±0.5 [59.5~60.5],(2) 60.0±1.0 [59.0~61.0],(3) 60.0±1.5 [58.5~61.5],(4) 60.0±2.0 [58.0~62.0],(5) 60.0±2.5 [57.5~62.5],(6) 60.0±3.0 [57.0~63.0],(7) 60.0±3.5 [56.5~63.5],(8) 60.0±4.0 [56.0~64.0],(9) 60.0±0.0 [-939.0~60.0]
MAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
